address,snapshotAmountWei,claimableWei,manualPayoutWei,recoveryRateWei,extractionBlock
0xe5718BbC5B347B5bA3EAb66c4B3D81a7642FB17D,722280301974507,722280301974507,230846490525438,319607900000000000,25352195
0xe66498c07A5247a2BEbEbC93880dffe89C19cB20,1232424355340122712,1232424355340122712,393892560119110405,319607900000000000,25352195
0xe6FC84E298b55Bc73FA30ed1639Fce87DA9d3e65,10992232072796380,10992232072796380,3513204209099098,319607900000000000,25352195
0xe89069529689849588CD65344c034A35289F44ea,15724411441665273214,15724411441665273214,5025646119606610474,319607900000000000,25352195
0xEe582e716f5407cF9b34Dfd2DF272d517857b96D,2220284620412159884,2220284620412159884,709620504932227554,319607900000000000,25352195
0xF8e5F9c94a3c8037ecbCc3751F5a6E2FAA8474a7,301680010639586532,301680010639586532,96419314672495908,319607900000000000,25352195
0xf90DDc303CD60CDaf9dE7Aaa36C9e9da43Cb11d2,98465274719219937,98465274719219937,31470279675932973,319607900000000000,25352195
0xF9Ce47Cd66Fc857ea947eABeF476191fD199612c,1646358846298637105,1646358846298637105,526189293511930177,319607900000000000,25352195
0xfa4d3CD41555d3A0FafD4A97e9ba91882A2f4755,2179758700438063000,2179758700438063000,696668100753738395,319607900000000000,25352195
0xfa4EaA5F61A513b9b6e52F7600B69467ED83EC7a,1652674117902571,1652674117902571,528207704207193,319607900000000000,25352195
0xFBD4C3D8bE6B15b7cf428Db2838bb44C0054fCd2,2211156182513194,2211156182513194,706702984065058,319607900000000000,25352195
0xFBe8CF2E39065059d00b2288B1204B11ccd4d8EE,416770781533019,416770781533019,133203234267126,319607900000000000,25352195
0xFC5453ACF7807455d6bC6406a06d6A6Bb26DFf55,29010537425567867493,29010537425567867493,9271996944457152436,319607900000000000,25352195
0xfFba44c15Fe2768bC2234078dfac8c5A651A56e9,7958218730345236109,7958218730345236109,2543509576146307187,319607900000000000,25352195
